aX,aY,aZ,gX,gY,gZ
-0.161,1.799,0.733,0.244,13.672,50.720
-0.115,1.789,0.799,-11.902,15.869,31.860
-0.076,1.757,0.864,-18.250,17.883,15.564
-0.041,1.714,0.932,-20.569,20.020,2.625
-0.004,1.655,0.995,-21.851,21.729,-7.446
0.056,1.571,1.047,-23.560,24.170,-18.005
0.107,1.466,1.097,-28.625,26.062,-29.236
0.148,1.309,1.161,-40.039,25.452,-40.527
0.151,1.150,1.187,-60.608,24.231,-50.537
0.171,1.026,1.154,-85.999,31.189,-57.068
0.214,0.907,1.082,-106.995,42.297,-60.913
0.273,0.803,0.996,-117.371,49.377,-62.012
0.321,0.697,0.933,-117.126,53.284,-59.082
0.331,0.599,0.897,-111.389,54.504,-52.429
0.306,0.527,0.856,-106.567,57.983,-42.786
0.238,0.507,0.790,-105.225,66.223,-31.860
0.159,0.538,0.683,-104.614,77.393,-21.973
0.102,0.590,0.537,-99.609,88.562,-15.747
0.067,0.614,0.404,-86.365,97.961,-16.113
0.061,0.602,0.297,-67.444,103.333,-22.827
0.071,0.553,0.209,-49.377,100.708,-33.691
0.093,0.458,0.145,-37.659,88.867,-44.983
0.106,0.355,0.105,-35.034,75.806,-54.138
0.148,0.264,0.079,-42.542,64.026,-60.608
0.113,0.209,0.083,-54.565,52.490,-61.340
0.146,0.162,0.071,-66.772,39.001,-56.091
0.150,0.148,0.080,-72.449,26.733,-49.927
0.157,0.154,0.100,-69.336,18.799,-42.175
0.126,0.195,0.137,-59.387,10.437,-32.288
0.093,0.271,0.162,-45.715,6.531,-19.470
0.093,0.371,0.171,-29.480,6.042,-5.859
0.060,0.487,0.185,-12.329,4.700,3.113
0.042,0.600,0.198,2.380,4.700,10.010
0.062,0.687,0.191,12.512,5.249,13.000
0.058,0.776,0.163,18.127,7.690,10.315
0.076,0.831,0.112,20.752,10.132,5.310
0.089,0.860,0.068,21.545,8.911,0.183
0.072,0.902,0.024,20.691,5.310,-2.686
0.073,0.962,-0.026,19.531,-0.061,-2.319
0.070,1.038,-0.054,20.874,-9.277,-0.549
0.060,1.125,-0.052,23.865,-22.278,2.563
0.047,1.224,-0.023,24.963,-34.729,5.188
0.033,1.320,0.016,22.461,-46.936,4.761
0.032,1.411,0.060,17.761,-56.458,-0.916
0.041,1.459,0.109,12.634,-63.904,-13.611
0.057,1.467,0.145,6.714,-66.895,-33.936
0.078,1.429,0.168,0.061,-64.575,-57.678
0.095,1.361,0.175,-7.507,-61.584,-80.994
0.115,1.263,0.177,-15.991,-61.279,-100.830
0.149,1.156,0.181,-24.719,-64.880,-115.662
0.184,1.049,0.203,-32.349,-71.594,-125.366
0.219,0.954,0.244,-38.330,-80.505,-131.714
0.263,0.864,0.309,-42.603,-90.210,-135.620
0.313,0.773,0.402,-45.166,-98.999,-137.756
0.358,0.682,0.511,-47.302,-106.689,-139.160
0.396,0.599,0.617,-50.354,-112.305,-139.465
0.442,0.508,0.705,-53.650,-113.831,-138.855
0.483,0.415,0.757,-56.091,-112.122,-137.390
0.505,0.316,0.793,-57.190,-107.361,-134.277
0.517,0.228,0.819,-56.519,-97.839,-128.662
0.504,0.158,0.837,-53.650,-87.524,-120.422
0.501,0.108,0.838,-47.913,-79.529,-109.802
0.523,0.058,0.842,-37.354,-73.242,-99.365
0.553,0.003,0.864,-23.987,-69.824,-90.576
